time,best_bid,best_offer,bid_quote_size,offer_quote_size,cbrt_price,sqrt_price,weighted_price,square_price,midpoint_price,update_type,order_id,side,update_price,quantity,trader_id
19947946,0,0,0,0,-nan,-nan,-nan,-nan,0,ORDER,6304147982743044356,1,99.72,8041
19979041,99.72,0,8041,0,99.72,99.72,99.72,99.72,49.86,ORDER,3839523271487508586,1,99.73,7922
19990969,99.73,0,7922,0,99.73,99.73,99.73,99.73,49.865,ORDER,11150770876266057084,1,99.75,7808
19998561,99.75,0,7808,0,99.75,99.75,99.75,99.75,49.875,ORDER,7703537043020934050,1,99.77,6070
20017111,99.77,0,6070,0,99.77,99.77,99.77,99.77,49.885,ORDER,4789331703516907478,1,99.79,2449
20024466,99.79,0,2449,0,99.79,99.79,99.79,99.79,49.895,ORDER,10989604650692856348,1,99.78,4188
20031537,99.79,0,2449,0,99.79,99.79,99.79,99.79,49.895,ORDER,17765471431639805143,1,99.82,446
20038918,99.82,0,446,0,99.82,99.82,99.82,99.82,49.91,ORDER,8771566023889499287,1,99.83,423
20048307,99.83,0,423,0,99.83,99.83,99.83,99.83,49.915,ORDER,9517161387240241928,1,99.84,749
20055814,99.84,0,749,0,99.84,99.84,99.84,99.84,49.92,ORDER,17742842888180392100,1,99.8,3137
20062838,99.84,0,749,0,99.84,99.84,99.84,99.84,49.92,ORDER,12079001373903355517,1,99.85,446
20069718,99.85,0,446,0,99.85,99.85,99.85,99.85,49.925,ORDER,548976958845355425,0,100.19,1552
20077318,99.85,100.19,446,1552,100.058,100.071,100.114,100.164,100.02,ORDER,769874381399536134,1,99.74,9676
20096565,99.85,100.19,446,1552,100.058,100.071,100.114,100.164,100.02,ORDER,8762238382680982239,1,99.76,8889
20103532,99.85,100.19,446,1552,100.058,100.071,100.114,100.164,100.02,ORDER,4271377602788544868,1,99.81,1859
20110544,99.85,100.19,446,1552,100.058,100.071,100.114,100.164,100.02,ORDER,12144474912861387171,0,100.17,447
20117449,99.85,100.17,446,447,100.01,100.01,100.01,100.01,100.01,ORDER,7630554158426776364,0,100.24,5306
20124544,99.85,100.17,446,447,100.01,100.01,100.01,100.01,100.01,ORDER,15288547059672029932,0,100.14,512
20131125,99.85,100.14,446,512,100.005,99.9984,100.005,100.015,99.995,ORDER,6192862016721633159,0,100.22,5229
20138297,99.85,100.14,446,512,100.005,99.9984,100.005,100.015,99.995,ORDER,12200330219155950704,0,100.15,665
20145277,99.85,100.14,446,512,100.005,99.9984,100.005,100.015,99.995,ORDER,5617781293831331889,1,99.86,517
20152240,99.86,100.14,517,512,100,100,99.9993,99.9986,100,ORDER,16453251750032704594,0,100.2,2828
20159267,99.86,100.14,517,512,100,100,99.9993,99.9986,100,ORDER,17058958031084743452,0,100.18,558
20165947,99.86,100.14,517,512,100,100,99.9993,99.9986,100,ORDER,11322711660491828622,0,100.21,3043
20172442,99.86,100.14,517,512,100,100,99.9993,99.9986,100,ORDER,8933636668962865931,0,100.23,4077
20178892,99.86,100.14,517,512,100,100,99.9993,99.9986,100,ORDER,18390275080515778519,0,100.25,10118
20185342,99.86,100.14,517,512,100,100,99.9993,99.9986,100,ORDER,15774430515575900017,0,100.16,472
20191878,99.86,100.14,517,512,100,100,99.9993,99.9986,100,ORDER,10579788306328204839,0,100.27,6943
20198361,99.86,100.14,517,512,100,100,99.9993,99.9986,100,ORDER,1659631965917344332,0,100.26,9378
20204847,99.86,100.14,517,512,100,100,99.9993,99.9986,100,ORDER,11413329387647762703,0,100.28,9692
51936102,99.86,100.14,517,512,100,100,99.9993,99.9986,100,TRADE,2391817047362856967,0,99.86,203
88571504,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,CANCEL,548976958845355425,0,0,0
88591898,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,ORDER,10084197175804703511,0,100.19,417
88612566,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,CANCEL,7703537043020934050,0,0,0
88619763,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,ORDER,14606757089617997497,1,99.77,3254
88627327,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,CANCEL,18390275080515778519,0,0,0
88634233,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,ORDER,9524842775130337936,0,100.25,5344
88641669,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,CANCEL,10579788306328204839,0,0,0
88648546,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,ORDER,14195666551296242655,0,100.27,4250
88655796,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,CANCEL,4271377602788544868,0,0,0
88668035,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,ORDER,9476776622018278869,1,99.81,577
88675555,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,CANCEL,16453251750032704594,0,0,0
88682217,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,ORDER,1959254975097610006,0,100.2,1026
88689315,99.86,100.14,314,512,100.02,100.018,100.034,100.063,100,CANCEL,5617781293831331889,0,0,0
88695873,99.85,100.14,446,512,100.005,99.9984,100.005,100.015,99.995,CANCEL,6192862016721633159,0,0,0
88702834,99.85,100.14,446,512,100.005,99.9984,100.005,100.015,99.995,ORDER,11154610130131081107,0,100.22,2509
88710172,99.85,100.14,446,512,100.005,99.9984,100.005,100.015,99.995,CANCEL,15288547059672029932,0,0,0
88716980,99.85,100.15,446,665,100.01,100.013,100.03,100.057,100,CANCEL,17742842888180392100,0,0,0
88723628,99.85,100.15,446,665,100.01,100.013,100.03,100.057,100,ORDER,12807310272464615279,1,99.8,1569
88730673,99.85,100.15,446,665,100.01,100.013,100.03,100.057,100,ORDER,4103831430404311757,1,99.71,10682
88737657,99.85,100.15,446,665,100.01,100.013,100.03,100.057,100,ORDER,8613839283870866841,0,100.29,9554
143936288,99.85,100.15,446,665,100.01,100.013,100.03,100.057,100,TRADE,4703718227213190487,0,99.85,204
159939341,99.85,100.15,242,665,100.021,100.037,100.07,100.115,100,CANCEL,6304147982743044356,0,0,0
183930341,99.85,100.15,242,665,100.021,100.037,100.07,100.115,100,ORDER,3943487627345179411,0,100.19,2156
183949675,99.85,100.15,242,665,100.021,100.037,100.07,100.115,100,ORDER,11660543981620499775,0,100.27,4615
183957546,99.85,100.15,242,665,100.021,100.037,100.07,100.115,100,ORDER,16875578067495776110,1,99.81,2213
183965079,99.85,100.15,242,665,100.021,100.037,100.07,100.115,100,ORDER,14086733966926757779,0,100.25,3948
183972246,99.85,100.15,242,665,100.021,100.037,100.07,100.115,100,CANCEL,11413329387647762703,0,0,0
183979361,99.85,100.15,242,665,100.021,100.037,100.07,100.115,100,CANCEL,8613839283870866841,0,0,0
183987159,99.85,100.15,242,665,100.021,100.037,100.07,100.115,100,ORDER,2298132679771488226,1,99.85,405
183994458,99.85,100.15,647,665,100,100,100.002,100.004,100,ORDER,661092103757625906,1,99.8,2152
184001471,99.85,100.15,647,665,100,100,100.002,100.004,100,ORDER,10506217436895491046,0,100.22,3206
184008127,99.85,100.15,647,665,100,100,100.002,100.004,100,ORDER,3849977216727051889,0,100.2,2282
184014647,99.85,100.15,647,665,100,100,100.002,100.004,100,ORDER,16757120022404934415,0,100.21,2260
184021367,99.85,100.15,647,665,100,100,100.002,100.004,100,ORDER,11124065957468490370,0,100.18,1173
184031113,99.85,100.15,647,665,100,100,100.002,100.004,100,CANCEL,4103831430404311757,0,0,0
184037874,99.85,100.15,647,665,100,100,100.002,100.004,100,ORDER,18149833777322615200,1,99.77,4369
184044791,99.85,100.15,647,665,100,100,100.002,100.004,100,CANCEL,12200330219155950704,0,0,0
184051043,99.85,100.16,647,472,99.9947,99.9915,99.9808,99.9577,100.005,ORDER,834200668033215134,0,100.15,443
184059040,99.85,100.15,647,443,99.99,99.987,99.9719,99.9458,100,ORDER,6699313236463886416,1,99.79,2326
184066943,99.85,100.15,647,443,99.99,99.987,99.9719,99.9458,100,ORDER,18241320414782462017,1,99.82,978
184074855,99.85,100.15,647,443,99.99,99.987,99.9719,99.9458,100,CANCEL,9517161387240241928,0,0,0
184081974,99.85,100.15,647,443,99.99,99.987,99.9719,99.9458,100,ORDER,7664895759968023055,1,99.84,480
184089712,99.85,100.15,647,443,99.99,99.987,99.9719,99.9458,100,ORDER,1276795420362223227,0,100.13,515
184097302,99.85,100.13,647,515,99.99,99.9811,99.9741,99.9586,99.99,ORDER,10892920283902393531,0,100.14,526
184105124,99.85,100.13,647,515,99.99,99.9811,99.9741,99.9586,99.99,ORDER,12916304633042712318,1,99.86,365
184112902,99.86,100.13,365,515,100.004,100.005,100.018,100.04,99.995,ORDER,16894056912253344242,1,99.87,415
211944766,99.87,100.13,415,515,100.009,100.006,100.014,100.028,100,TRADE,4666128049351289735,0,99.87,180
223941838,99.87,100.13,235,515,100.019,100.025,100.049,100.085,100,CANCEL,8771566023889499287,0,0,0
235948848,99.87,100.13,235,515,100.019,100.025,100.049,100.085,100,CANCEL,7664895759968023055,0,0,0
247942266,99.87,100.13,235,515,100.019,100.025,100.049,100.085,100,CANCEL,11154610130131081107,0,0,0
263149354,99.87,100.13,235,515,100.019,100.025,100.049,100.085,100,CANCEL,10506217436895491046,0,0,0
263161242,99.87,100.13,235,515,100.019,100.025,100.049,100.085,100,ORDER,6124329305875252983,0,100.22,1946
263169615,99.87,100.13,235,515,100.019,100.025,100.049,100.085,100,CANCEL,1276795420362223227,0,0,0
263176240,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,CANCEL,9524842775130337936,0,0,0
263183107,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,CANCEL,14086733966926757779,0,0,0
263189794,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,ORDER,8018130286388532057,0,100.25,4646
263197177,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,CANCEL,10084197175804703511,0,0,0
263203934,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,CANCEL,3943487627345179411,0,0,0
263210386,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,ORDER,16659267604181277384,0,100.19,615
263217324,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,CANCEL,834200668033215134,0,0,0
263223816,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,CANCEL,18149833777322615200,0,0,0
263230498,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,CANCEL,14606757089617997497,0,0,0
263236959,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,ORDER,375616097416979924,1,99.77,1502
263244044,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,CANCEL,6699313236463886416,0,0,0
263250505,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,CANCEL,4789331703516907478,0,0,0
263256954,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,ORDER,3409838597522664213,1,99.79,657
263263832,99.87,100.14,235,526,100.024,100.031,100.057,100.095,100.005,CANCEL,10892920283902393531,0,0,0
263270214,99.87,100.16,235,472,100.026,100.039,100.064,100.102,100.015,CANCEL,16894056912253344242,0,0,0
263276886,99.86,100.16,365,472,100.01,100.018,100.029,100.048,100.01,CANCEL,1959254975097610006,0,0,0
263283723,99.86,100.16,365,472,100.01,100.018,100.029,100.048,100.01,CANCEL,3849977216727051889,0,0,0
263290351,99.86,100.16,365,472,100.01,100.018,100.029,100.048,100.01,ORDER,13144757910833513440,0,100.2,431
263297406,99.86,100.16,365,472,100.01,100.018,100.029,100.048,100.01,CANCEL,12916304633042712318,0,0,0
263304048,99.85,100.16,647,472,99.9947,99.9915,99.9808,99.9577,100.005,CANCEL,3839523271487508586,0,0,0
263311542,99.85,100.16,647,472,99.9947,99.9915,99.9808,99.9577,100.005,ORDER,794924177755355791,1,99.73,5178
263319156,99.85,100.16,647,472,99.9947,99.9915,99.9808,99.9577,100.005,CANCEL,12807310272464615279,0,0,0
263326191,99.85,100.16,647,472,99.9947,99.9915,99.9808,99.9577,100.005,CANCEL,661092103757625906,0,0,0
263333421,99.85,100.16,647,472,99.9947,99.9915,99.9808,99.9577,100.005,ORDER,11097569939329615095,1,99.8,504
263341253,99.85,100.16,647,472,99.9947,99.9915,99.9808,99.9577,100.005,CANCEL,12079001373903355517,0,0,0
263348341,99.85,100.16,405,472,100.005,100.009,100.017,100.029,100.005,CANCEL,2298132679771488226,0,0,0
263355023,99.82,100.16,1424,472,99.9522,99.9431,99.9046,99.8537,99.99,CANCEL,10989604650692856348,0,0,0
263362568,99.82,100.16,1424,472,99.9522,99.9431,99.9046,99.8537,99.99,ORDER,650759966384314020,1,99.78,468
263370205,99.82,100.16,1424,472,99.9522,99.9431,99.9046,99.8537,99.99,CANCEL,18241320414782462017,0,0,0
263377360,99.82,100.16,446,472,99.99,99.99,99.9948,99.9996,99.99,CANCEL,17765471431639805143,0,0,0
263384703,99.81,100.16,2790,472,99.9267,99.9107,99.8606,99.8197,99.985,ORDER,5211104755433124175,1,99.82,457
263392498,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,CANCEL,16875578067495776110,0,0,0
263399704,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,CANCEL,9476776622018278869,0,0,0
263407026,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,12382025164652924643,1,99.81,417
263414645,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,CANCEL,8762238382680982239,0,0,0
263437864,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,10100119143060096044,1,99.76,3061
263445837,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,CANCEL,769874381399536134,0,0,0
263452812,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,3050130766247888161,1,99.74,4678
263460357,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,CANCEL,1659631965917344332,0,0,0
263467272,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,13677787720346309978,0,100.26,4486
263474696,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,CANCEL,11150770876266057084,0,0,0
263481602,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,5917902923088625239,1,99.75,2596
263489033,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,CANCEL,16757120022404934415,0,0,0
263495934,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,CANCEL,11322711660491828622,0,0,0
263502891,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,11313769577219085844,0,100.21,1375
263510305,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,CANCEL,11124065957468490370,0,0,0
263517149,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,CANCEL,17058958031084743452,0,0,0
263524198,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,1707108554722149333,0,100.18,464
263531604,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,8514505777221584441,1,99.68,5898
263538969,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,6255284993439037213,1,99.69,8727
263546507,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,18037597373466311147,1,99.7,5824
263554017,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,8461118357298027589,1,99.71,8953
263573319,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,12525652939458017620,1,99.72,6104
263581099,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,11334152118490403643,0,100.28,7697
263588664,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,3702794734198757621,0,100.29,11472
263596321,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,ORDER,3059822403450140774,0,100.3,12333
263604198,99.82,100.16,457,472,99.99,99.99,99.9927,99.9955,99.99,TRADE,5806300630613540436,1,100.16,214
299947975,99.82,100.16,457,258,99.9769,99.967,99.9427,99.9022,99.99,TRADE,15584498949148984412,1,100.16,216
315938967,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,17491627644766099573,0,100.25,3889
327940354,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,10730049195373818376,0,100.19,2228
343936978,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,15976938854325346613,1,99.79,4697
343955431,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,14893281208663000701,0,100.24,3892
343964055,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,4876267838717662024,0,100.22,5788
343972136,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,16583685236173758545,1,99.77,5733
343980245,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,12525652939458017620,0,0,0
343988615,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,3738285029776430862,0,100.2,4450
343996730,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,794924177755355791,0,0,0
344004527,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,6255284993439037213,0,0,0
344012001,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,CANCEL,18037597373466311147,0,0,0
344019381,99.82,100.16,457,42,99.922,99.8956,99.8486,99.8228,99.99,ORDER,16084076986713908762,1,99.8,4458
